# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 973K of event 'task-clock'
# Event count (approx.): 973961000000
#
# Children      Self  Command  Shared Object         Symbol                                                         
# ........  ........  .......  ....................  ...............................................................
#
    99.97%     0.00%  main     [unknown]             [.] 0x40404afb203cefe6
            |
            ---0x40404afb203cefe6
               matrixMultiplyKJI(double*, double*, double*, int, int, int)

    99.97%    99.95%  main     main                  [.] matrixMultiplyKJI(double*, double*, double*, int, int, int)
            |          
             --99.95%--0x40404afb203cefe6
                       matrixMultiplyKJI(double*, double*, double*, int, int, int)

     0.00%     0.00%  main     [kernel.kallsyms]     [k] sysvec_reschedule_ipi
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_update_request
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_get_inode_loc
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_read_block_bitmap
     0.00%     0.00%  main     [kernel.kallsyms]     [k] pte_alloc_one
     0.00%     0.00%  main     [kernel.kallsyms]     [k] sd_init_command
     0.00%     0.00%  main     [kernel.kallsyms]     [k] sg_pool_free
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __ext4_get_inode_loc
     0.00%     0.00%  main     [kernel.kallsyms]     [k] balance_dirty_pages_ratelimited
     0.00%     0.00%  main     [kernel.kallsyms]     [k] bio_endio
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_read_block_bitmap_nowait
     0.00%     0.00%  main     [kernel.kallsyms]     [k] mempool_free
     0.00%     0.00%  main     [kernel.kallsyms]     [k] sd_setup_read_write_cmnd
     0.00%     0.00%  main     [kernel.kallsyms]     [k] tasklet_hi_action
     0.00%     0.00%  main     [kernel.kallsyms]     [k] tcp_orphan_update
     0.00%     0.00%  main     ld-linux-x86-64.so.2  [.] _dl_fixup
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __cond_resched
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __ext4_journal_get_write_access
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __ext4_journal_start_sb
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __ext4_journal_stop
     0.00%     0.00%  main     [kernel.kallsyms]     [k] balance_dirty_pages_ratelimited_flags
     0.00%     0.00%  main     [kernel.kallsyms]     [k] bio_add_folio
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_end_bio
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_inode_csum_set
     0.00%     0.00%  main     [kernel.kallsyms]     [k] mempool_free_slab
     0.00%     0.00%  main     [kernel.kallsyms]     [k] mod_timer
     0.00%     0.00%  main     [kernel.kallsyms]     [k] rcu_do_batch
     0.00%     0.00%  main     [kernel.kallsyms]     [k] scsi_alloc_sgtables
     0.00%     0.00%  main     [kernel.kallsyms]     [k] tasklet_action_common.constprop.0
     0.00%     0.00%  main     [unknown]             [.] 0000000000000000
     0.00%     0.00%  main     [i915]                [k] execlists_submission_tasklet
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __blk_rq_map_sg
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __memcg_kmem_charge_page
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __mod_timer
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __pte_offset_map_lock
     0.00%     0.00%  main     [kernel.kallsyms]     [k] bio_add_page
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_free_request
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_da_reserve_space
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_finish_bio
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_inode_csum
     0.00%     0.00%  main     [kernel.kallsyms]     [k] file_free_rcu
     0.00%     0.00%  main     [kernel.kallsyms]     [k] flush_end_io
     0.00%     0.00%  main     [kernel.kallsyms]     [k] from_kprojid
     0.00%     0.00%  main     [kernel.kallsyms]     [k] inc_mm_counter
     0.00%     0.00%  main     [kernel.kallsyms]     [k] jbd2__journal_start
     0.00%     0.00%  main     [kernel.kallsyms]     [k] jbd2_journal_get_write_access
     0.00%     0.00%  main     [kernel.kallsyms]     [k] jbd2_journal_stop
     0.00%     0.00%  main     [kernel.kallsyms]     [k] obj_cgroup_charge
     0.00%     0.00%  main     [kernel.kallsyms]     [k] pte_offset_map_nolock
     0.00%     0.00%  main     [kernel.kallsyms]     [k] radix_tree_lookup
     0.00%     0.00%  main     [kernel.kallsyms]     [k] xa_get_order
     0.00%     0.00%  main     [unknown]             [.] 0x00007f0009cfb4b0


# Samples: 970K of event 'cycles'
# Event count (approx.): 2943387982045
#
# Children      Self  Command  Shared Object         Symbol                                                         
# ........  ........  .......  ....................  ...............................................................
#
    99.97%     0.00%  main     [unknown]             [.] 0x40404afb203cefe6
            |
            ---0x40404afb203cefe6
               matrixMultiplyKJI(double*, double*, double*, int, int, int)
               |          
                --0.58%--asm_sysvec_apic_timer_interrupt
                          |          
                           --0.52%--sysvec_apic_timer_interrupt

    99.97%    99.33%  main     main                  [.] matrixMultiplyKJI(double*, double*, double*, int, int, int)
            |          
            |--99.33%--0x40404afb203cefe6
            |          matrixMultiplyKJI(double*, double*, double*, int, int, int)
            |          
             --0.64%--matrixMultiplyKJI(double*, double*, double*, int, int, int)
                       |          
                        --0.58%--asm_sysvec_apic_timer_interrupt
                                  |          
                                   --0.52%--sysvec_apic_timer_interrupt

