# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 110K of event 'task-clock'
# Event count (approx.): 110511000000
#
# Children      Self  Command  Shared Object        Symbol                                                         
# ........  ........  .......  ...................  ...............................................................
#
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __rcu_read_unlock
     0.00%     0.00%  main     [kernel.kallsyms]    [k] get_mem_cgroup_from_mm
     0.00%     0.00%  main     [kernel.kallsyms]    [k] ext4_do_update_inode.isra.0
     0.00%     0.00%  main     [kernel.kallsyms]    [k] free_unref_page_commit
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __folio_start_writeback
     0.00%     0.00%  main     [kernel.kallsyms]    [k] ext4_fill_raw_inode
     0.00%     0.00%  main     [kernel.kallsyms]    [k] kmem_cache_alloc
     0.00%     0.00%  main     [kernel.kallsyms]    [k] mpage_prepare_extent_to_map
     0.00%     0.00%  main     [unknown]            [k] 0x6d2f2f687461705f
     0.00%     0.00%  main     libc.so.6            [.] __GI___libc_open
     0.00%     0.00%  main     [kernel.kallsyms]    [k] ext4_block_write_begin
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __x64_sys_openat
     0.00%     0.00%  main     [kernel.kallsyms]    [k] do_sys_openat2
     0.00%     0.00%  main     [kernel.kallsyms]    [k] do_filp_open
     0.00%     0.00%  main     [kernel.kallsyms]    [k] pageout
     0.00%     0.00%  main     [kernel.kallsyms]    [k] path_openat
     0.00%     0.00%  main     [kernel.kallsyms]    [k] shmem_writepage
     0.00%     0.00%  main     [kernel.kallsyms]    [k] do_open
     0.00%     0.00%  main     [kernel.kallsyms]    [k] filemap_alloc_folio
     0.00%     0.00%  main     [kernel.kallsyms]    [k] do_truncate
     0.00%     0.00%  main     [kernel.kallsyms]    [k] folio_alloc
     0.00%     0.00%  main     [kernel.kallsyms]    [k] tlb_finish_mmu
     0.00%     0.00%  main     [kernel.kallsyms]    [k] alloc_pages
     0.00%     0.00%  main     [kernel.kallsyms]    [k] irqentry_exit
     0.00%     0.00%  main     [kernel.kallsyms]    [k] notify_change
     0.00%     0.00%  main     [kernel.kallsyms]    [k] ext4_setattr
     0.00%     0.00%  main     [kernel.kallsyms]    [k] irqentry_exit_to_user_mode
     0.00%     0.00%  main     [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.00%     0.00%  main     [kernel.kallsyms]    [k] crypto_shash_update
     0.00%     0.00%  main     [kernel.kallsyms]    [k] submit_bio
     0.00%     0.00%  main     [kernel.kallsyms]    [k] submit_bio_noacct
     0.00%     0.00%  main     [kernel.kallsyms]    [k] folio_create_empty_buffers
     0.00%     0.00%  main     [kernel.kallsyms]    [k] submit_bio_noacct_nocheck
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __rmqueue_pcplist
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __submit_bio
     0.00%     0.00%  main     [kernel.kallsyms]    [k] _compound_head
     0.00%     0.00%  main     [kernel.kallsyms]    [k] blk_done_softirq
     0.00%     0.00%  main     [kernel.kallsyms]    [k] blk_mq_submit_bio
     0.00%     0.00%  main     [kernel.kallsyms]    [k] blk_complete_reqs
     0.00%     0.00%  main     [kernel.kallsyms]    [k] scsi_complete
     0.00%     0.00%  main     [kernel.kallsyms]    [k] scsi_finish_command
     0.00%     0.00%  main     [kernel.kallsyms]    [k] scsi_io_completion
     0.00%     0.00%  main     [kernel.kallsyms]    [k] create_empty_buffers
     0.00%     0.00%  main     [kernel.kallsyms]    [k] scsi_end_request
     0.00%     0.00%  main     [kernel.kallsyms]    [k] blk_update_request
     0.00%     0.00%  main     [kernel.kallsyms]    [k] run_timer_softirq
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __run_timers
     0.00%     0.00%  main     [kernel.kallsyms]    [k] truncate_pagecache
     0.00%     0.00%  main     [kernel.kallsyms]    [k] ext4_inode_csum_set
     0.00%     0.00%  main     [kernel.kallsyms]    [k] truncate_inode_pages_range
     0.00%     0.00%  main     [kernel.kallsyms]    [k] ext4_inode_csum
     0.00%     0.00%  main     [kernel.kallsyms]    [k] schedule
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __schedule
     0.00%     0.00%  main     [kernel.kallsyms]    [k] crc32c_pcl_intel_update
     0.00%     0.00%  main     [kernel.kallsyms]    [k] mod_lruvec_page_state
     0.00%     0.00%  main     [kernel.kallsyms]    [k] mpage_process_folio
     0.00%     0.00%  main     [kernel.kallsyms]    [k] memcg_slab_post_alloc_hook
     0.00%     0.00%  main     [kernel.kallsyms]    [k] start_this_handle
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __rcu_read_lock
     0.00%     0.00%  main     [kernel.kallsyms]    [k] block_invalidate_folio
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __ext4_journal_get_write_access
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __mod_lruvec_state
     0.00%     0.00%  main     [kernel.kallsyms]    [k] swap_writepage
     0.00%     0.00%  main     [kernel.kallsyms]    [k] rebalance_domains
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __swap_writepage
     0.00%     0.00%  main     [kernel.kallsyms]    [k] bio_endio
     0.00%     0.00%  main     [kernel.kallsyms]    [k] ext4_reserve_inode_write
     0.00%     0.00%  main     [kernel.kallsyms]    [k] folio_alloc_buffers
     0.00%     0.00%  main     [kernel.kallsyms]    [k] alloc_buffer_head
     0.00%     0.00%  main     [kernel.kallsyms]    [k] folio_add_new_anon_rmap
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __mod_lruvec_page_state
     0.00%     0.00%  main     [kernel.kallsyms]    [k] truncate_cleanup_folio
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __remove_mapping
     0.00%     0.00%  main     [kernel.kallsyms]    [k] ext4_invalidate_folio
     0.00%     0.00%  main     [kernel.kallsyms]    [k] rmqueue_bulk
     0.00%     0.00%  main     [kernel.kallsyms]    [k] run_rebalance_domains
     0.00%     0.00%  main     [kernel.kallsyms]    [k] mod_zone_page_state
     0.00%     0.00%  main     [kernel.kallsyms]    [k] end_page_writeback
     0.00%     0.00%  main     [kernel.kallsyms]    [k] page_counter_try_charge
     0.00%     0.00%  main     [kernel.kallsyms]    [k] memset_orig
     0.00%     0.00%  main     [kernel.kallsyms]    [k] vma_interval_tree_iter_first
     0.00%     0.00%  main     [kernel.kallsyms]    [k] bio_to_wbt_flags
     0.00%     0.00%  main     [kernel.kallsyms]    [k] bvec_split_segs
     0.00%     0.00%  main     [kernel.kallsyms]    [k] post_alloc_hook
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __bio_add_page
     0.00%     0.00%  main     [kernel.kallsyms]    [k] lookup_bh_lru
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __pte_offset_map_lock
     0.00%     0.00%  main     [kernel.kallsyms]    [k] filemap_get_folios
     0.00%     0.00%  main     [kernel.kallsyms]    [k] jbd2_write_access_granted
     0.00%     0.00%  main     [kernel.kallsyms]    [k] filemap_get_folios_tag
     0.00%     0.00%  main     [kernel.kallsyms]    [k] folio_unlock
     0.00%     0.00%  main     [kernel.kallsyms]    [k] free_unref_page_prepare
     0.00%     0.00%  main     [kernel.kallsyms]    [k] jbd2_journal_dirty_metadata
     0.00%     0.00%  main     [kernel.kallsyms]    [k] mpage_process_page_bufs
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __brelse
     0.00%     0.00%  main     [kernel.kallsyms]    [k] _raw_spin_unlock
     0.00%     0.00%  main     [kernel.kallsyms]    [k] count_memcg_events.constprop.0
     0.00%     0.00%  main     [kernel.kallsyms]    [k] policy_node
     0.00%     0.00%  main     [kernel.kallsyms]    [k] up_read
     0.00%     0.00%  main     [kernel.kallsyms]    [k] xa_get_order
     0.00%     0.00%  main     [kernel.kallsyms]    [k] xas_descend
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __mod_node_page_state
     0.00%     0.00%  main     [kernel.kallsyms]    [k] consume_stock
     0.00%     0.00%  main     [kernel.kallsyms]    [k] end_bio_bh_io_sync
     0.00%     0.00%  main     [kernel.kallsyms]    [k] page_remove_rmap
     0.00%     0.00%  main     libstdc++.so.6.0.30  [.] 0x00007fcffbeaaa73
     0.00%     0.00%  main     [kernel.kallsyms]    [k] blk_add_rq_to_plug
     0.00%     0.00%  main     [kernel.kallsyms]    [k] blk_mq_flush_plug_list.part.0
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __folio_throttle_swaprate
     0.00%     0.00%  main     [kernel.kallsyms]    [k] mntput_no_expire
     0.00%     0.00%  main     [kernel.kallsyms]    [k] pte_offset_map_nolock
     0.00%     0.00%  main     [kernel.kallsyms]    [k] blk_mq_dispatch_plug_list
     0.00%     0.00%  main     [kernel.kallsyms]    [k] task_mm_cid_work
     0.00%     0.00%  main     [kernel.kallsyms]    [k] blk_mq_run_hw_queue
     0.00%     0.00%  main     [kernel.kallsyms]    [k] rseq_ip_fixup
     0.00%     0.00%  main     [kernel.kallsyms]    [k] blk_mq_sched_dispatch_requests
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __blk_mq_sched_dispatch_requests
     0.00%     0.00%  main     [kernel.kallsyms]    [k] balance_dirty_pages_ratelimited
     0.00%     0.00%  main     [kernel.kallsyms]    [k] bio_alloc_bioset
     0.00%     0.00%  main     [kernel.kallsyms]    [k] access_error
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __blk_mq_do_dispatch_sched
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __ext4_journal_stop
     0.00%     0.00%  main     [kernel.kallsyms]    [k] balance_dirty_pages_ratelimited_flags
     0.00%     0.00%  main     [kernel.kallsyms]    [k] mempool_alloc
     0.00%     0.00%  main     [kernel.kallsyms]    [k] balance_dirty_pages
     0.00%     0.00%  main     [kernel.kallsyms]    [k] blk_mq_dispatch_rq_list
     0.00%     0.00%  main     [kernel.kallsyms]    [k] block_write_end
     0.00%     0.00%  main     [kernel.kallsyms]    [k] call_timer_fn
     0.00%     0.00%  main     [kernel.kallsyms]    [k] ext4_end_bio
     0.00%     0.00%  main     [kernel.kallsyms]    [k] ext4_get_inode_loc
     0.00%     0.00%  main     [kernel.kallsyms]    [k] io_schedule_timeout
     0.00%     0.00%  main     [kernel.kallsyms]    [k] jbd2_journal_stop
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __block_commit_write.constprop.0
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __drain_all_pages
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __ext4_get_inode_loc
     0.00%     0.00%  main     [kernel.kallsyms]    [k] blk_mq_get_new_requests
     0.00%     0.00%  main     [kernel.kallsyms]    [k] ext4_finish_bio
     0.00%     0.00%  main     [kernel.kallsyms]    [k] mem_cgroup_wb_stats
     0.00%     0.00%  main     [kernel.kallsyms]    [k] rcu_core_si
     0.00%     0.00%  main     [kernel.kallsyms]    [k] schedule_timeout
     0.00%     0.00%  main     [kernel.kallsyms]    [k] scsi_queue_rq
     0.00%     0.00%  main     [kernel.kallsyms]    [k] stop_this_handle
     0.00%     0.00%  main     [kernel.kallsyms]    [k] tcp_orphan_update
     0.00%     0.00%  main     [kernel.kallsyms]    [k] ___slab_alloc
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __bio_split_to_limits
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __getblk_gfp
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __rq_qos_throttle
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __wake_up
     0.00%     0.00%  main     [kernel.kallsyms]    [k] do_flush_stats
     0.00%     0.00%  main     [kernel.kallsyms]    [k] drain_pages_zone
     0.00%     0.00%  main     [kernel.kallsyms]    [k] filemap_get_entry
     0.00%     0.00%  main     [kernel.kallsyms]    [k] folio_alloc_swap
     0.00%     0.00%  main     [kernel.kallsyms]    [k] folio_end_writeback
     0.00%     0.00%  main     [kernel.kallsyms]    [k] mark_buffer_dirty
     0.00%     0.00%  main     [kernel.kallsyms]    [k] mod_timer
     0.00%     0.00%  main     [kernel.kallsyms]    [k] rcu_core
     0.00%     0.00%  main     [kernel.kallsyms]    [k] scsi_dispatch_cmd
