# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 354K of event 'task-clock'
# Event count (approx.): 354215000000
#
# Children      Self  Command  Shared Object      Symbol                                                         
# ........  ........  .......  .................  ...............................................................
#
    99.95%     0.00%  main     [unknown]          [.] 0x4044b856735ca06c
            |
            ---0x4044b856735ca06c
               matrixMultiplyKJI(double*, double*, double*, int, int, int)

    99.95%    99.93%  main     main               [.] matrixMultiplyKJI(double*, double*, double*, int, int, int)
            |          
             --99.93%--0x4044b856735ca06c
                       matrixMultiplyKJI(double*, double*, double*, int, int, int)

     0.00%     0.00%  main     [kernel.kallsyms]  [k] filemap_add_folio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] free_unref_page_commit
     0.00%     0.00%  main     [kernel.kallsyms]  [k] copy_page_from_iter_atomic
     0.00%     0.00%  main     [kernel.kallsyms]  [k] free_pcppages_bulk
     0.00%     0.00%  main     [kernel.kallsyms]  [k] balance_dirty_pages_ratelimited_flags
     0.00%     0.00%  main     [kernel.kallsyms]  [k] task_mm_cid_work
     0.00%     0.00%  main     [kernel.kallsyms]  [k] filemap_alloc_folio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] folio_alloc
     0.00%     0.00%  main     [kernel.kallsyms]  [k] tlb_flush_mmu
     0.00%     0.00%  main     [kernel.kallsyms]  [k] alloc_pages
     0.00%     0.00%  main     [kernel.kallsyms]  [k] balance_dirty_pages_ratelimited
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_mark_iloc_dirty
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __rcu_read_unlock
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_fill_raw_inode
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __filemap_add_folio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] folio_add_lru
     0.00%     0.00%  main     [kernel.kallsyms]  [k] update_blocked_averages
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_block_write_begin
     0.00%     0.00%  main     [kernel.kallsyms]  [k] run_timer_softirq
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __run_timers
     0.00%     0.00%  main     [kernel.kallsyms]  [k] find_busiest_group
     0.00%     0.00%  main     [kernel.kallsyms]  [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __folio_start_writeback
     0.00%     0.00%  main     [kernel.kallsyms]  [k] folio_clear_dirty_for_io
     0.00%     0.00%  main     [kernel.kallsyms]  [k] _compound_head
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __folio_batch_release
     0.00%     0.00%  main     [kernel.kallsyms]  [k] folio_add_lru_vma
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __rseq_handle_notify_resume
     0.00%     0.00%  main     [kernel.kallsyms]  [k] folio_batch_move_lru
     0.00%     0.00%  main     [kernel.kallsyms]  [k] rseq_ip_fixup
     0.00%     0.00%  main     [kernel.kallsyms]  [k] crypto_shash_update
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mpage_prepare_extent_to_map
     0.00%     0.00%  main     [kernel.kallsyms]  [k] kmem_cache_alloc
     0.00%     0.00%  main     [kernel.kallsyms]  [k] _find_first_bit
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_invalidate_folio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_da_map_blocks.constprop.0
     0.00%     0.00%  main     [kernel.kallsyms]  [k] page_remove_rmap
     0.00%     0.00%  main     [kernel.kallsyms]  [k] update_sg_lb_stats
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __bitmap_weight
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __get_user_8
     0.00%     0.00%  main     [kernel.kallsyms]  [k] filemap_get_read_batch
     0.00%     0.00%  main     [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mem_cgroup_handle_over_high
     0.00%     0.00%  main     [kernel.kallsyms]  [k] truncate_cleanup_folio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] balance_dirty_pages
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_da_get_block_prep
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_inode_csum_set
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mem_cgroup_wb_stats
     0.00%     0.00%  main     [kernel.kallsyms]  [k] do_flush_stats
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_inode_csum
     0.00%     0.00%  main     [kernel.kallsyms]  [k] schedule
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __schedule
     0.00%     0.00%  main     [kernel.kallsyms]  [k] cgroup_rstat_flush
     0.00%     0.00%  main     [kernel.kallsyms]  [k] filemap_get_pages
     0.00%     0.00%  main     [kernel.kallsyms]  [k] clear_page_erms
     0.00%     0.00%  main     [kernel.kallsyms]  [k] try_charge_memcg
     0.00%     0.00%  main     [kernel.kallsyms]  [k] _raw_spin_lock
     0.00%     0.00%  main     [kernel.kallsyms]  [k] percpu_counter_add_batch
     0.00%     0.00%  main     [kernel.kallsyms]  [k] bio_add_folio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mpage_process_folio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] filemap_get_folios
     0.00%     0.00%  main     [kernel.kallsyms]  [k] folio_add_new_anon_rmap
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __ext4_journal_get_write_access
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mt_find
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __radix_tree_lookup
     0.00%     0.00%  main     [kernel.kallsyms]  [k] find_lock_entries
     0.00%     0.00%  main     [kernel.kallsyms]  [k] blk_done_softirq
     0.00%     0.00%  main     [kernel.kallsyms]  [k] create_empty_buffers
     0.00%     0.00%  main     [kernel.kallsyms]  [k] blk_complete_reqs
     0.00%     0.00%  main     [kernel.kallsyms]  [k] folio_create_empty_buffers
     0.00%     0.00%  main     [kernel.kallsyms]  [k] block_invalidate_folio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] block_write_end
     0.00%     0.00%  main     [kernel.kallsyms]  [k] folio_alloc_buffers
     0.00%     0.00%  main     [kernel.kallsyms]  [k] scsi_complete
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __block_commit_write.constprop.0
     0.00%     0.00%  main     [kernel.kallsyms]  [k] alloc_buffer_head
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_reserve_inode_write
     0.00%     0.00%  main     [kernel.kallsyms]  [k] filemap_release_folio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] lock_mm_and_find_vma
     0.00%     0.00%  main     [kernel.kallsyms]  [k] scsi_finish_command
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __ext4_journal_start_sb
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_release_folio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mark_buffer_dirty
     0.00%     0.00%  main     [kernel.kallsyms]  [k] scsi_io_completion
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __folio_mark_dirty
     0.00%     0.00%  main     [kernel.kallsyms]  [k] inc_mm_counter
     0.00%     0.00%  main     [kernel.kallsyms]  [k] jbd2__journal_start
     0.00%     0.00%  main     [kernel.kallsyms]  [k] jbd2_journal_try_to_free_buffers
     0.00%     0.00%  main     [kernel.kallsyms]  [k] radix_tree_lookup
     0.00%     0.00%  main     [kernel.kallsyms]  [k] scsi_end_request
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __blk_mq_end_request
     0.00%     0.00%  main     [kernel.kallsyms]  [k] blk_mq_sched_dispatch_requests
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mb_set_bits
     0.00%     0.00%  main     [kernel.kallsyms]  [k] bh_get_inode_and_lblk_num
     0.00%     0.00%  main     [kernel.kallsyms]  [k] bvec_try_merge_page
     0.00%     0.00%  main     [kernel.kallsyms]  [k] crc32c_pcl_intel_update
