# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 816397
#
# Samples: 1M of event 'task-clock'
# Event count (approx.): 1912561000000
#
# Children      Self  Command  Shared Object         Symbol                                                         
# ........  ........  .......  ....................  ...............................................................
#
    99.97%    99.89%  main     main                  [.] matrixMultiplyJKI(double*, double*, double*, int, int, int)
            |          
             --99.87%--0
                       matrixMultiplyJKI(double*, double*, double*, int, int, int)

    99.95%     0.00%  main     [unknown]             [.] 0000000000000000
            |
            ---0
               |          
                --99.95%--matrixMultiplyJKI(double*, double*, double*, int, int, int)

     0.00%     0.00%  main     [kernel.kallsyms]     [k] get_page_from_freelist
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __blk_mq_free_request
     0.00%     0.00%  main     [kernel.kallsyms]     [k] task_work_run
     0.00%     0.00%  main     [kernel.kallsyms]     [k] load_balance
     0.00%     0.00%  main     [kernel.kallsyms]     [k] task_mm_cid_work
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_sched_dispatch_requests
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __blk_mq_sched_dispatch_requests
     0.00%     0.00%  main     [kernel.kallsyms]     [k] charge_memcg
     0.00%     0.00%  main     [kernel.kallsyms]     [k] copy_page_from_iter_atomic
     0.00%     0.00%  main     [kernel.kallsyms]     [k] folio_add_lru
     0.00%     0.00%  main     [kernel.kallsyms]     [k] alloc_pages
     0.00%     0.00%  main     [kernel.kallsyms]     [k] zap_pte_range
     0.00%     0.00%  main     [kernel.kallsyms]     [k] filemap_alloc_folio
     0.00%     0.00%  main     [kernel.kallsyms]     [k] copyin
     0.00%     0.00%  main     [kernel.kallsyms]     [k] folio_alloc
     0.00%     0.00%  main     [kernel.kallsyms]     [k] sbitmap_queue_clear
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __blk_mq_do_dispatch_sched
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_da_map_blocks.constprop.0
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_put_tag
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_da_get_block_prep
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __ext4_mark_inode_dirty
     0.00%     0.00%  main     [kernel.kallsyms]     [k] balance_dirty_pages_ratelimited_flags
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __rseq_handle_notify_resume
     0.00%     0.00%  main     [kernel.kallsyms]     [k] balance_dirty_pages_ratelimited
     0.00%     0.00%  main     [kernel.kallsyms]     [k] bio_first_folio
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __wake_up
     0.00%     0.00%  main     [kernel.kallsyms]     [k] balance_dirty_pages
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __wake_up_common_lock
     0.00%     0.00%  main     [kernel.kallsyms]     [k] folio_batch_move_lru
     0.00%     0.00%  main     [kernel.kallsyms]     [k] fault_in_iov_iter_readable
     0.00%     0.00%  main     [kernel.kallsyms]     [k] run_timer_softirq
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __run_timers
     0.00%     0.00%  main     [kernel.kallsyms]     [k] sbitmap_queue_wake_up
     0.00%     0.00%  main     [kernel.kallsyms]     [k] mem_cgroup_wb_stats
     0.00%     0.00%  main     [kernel.kallsyms]     [k] do_flush_stats
     0.00%     0.00%  main     [kernel.kallsyms]     [k] cgroup_rstat_flush
     0.00%     0.00%  main     [kernel.kallsyms]     [k] rmqueue
     0.00%     0.00%  main     [kernel.kallsyms]     [k] release_pages
     0.00%     0.00%  main     [kernel.kallsyms]     [k] fault_in_readable
     0.00%     0.00%  main     [kernel.kallsyms]     [k] tlb_flush_mmu
     0.00%     0.00%  main     [kernel.kallsyms]     [k] tlb_batch_pages_flush
     0.00%     0.00%  main     [kernel.kallsyms]     [k] try_charge_memcg
     0.00%     0.00%  main     [kernel.kallsyms]     [k] kmem_cache_free
     0.00%     0.00%  main     [kernel.kallsyms]     [k] vma_alloc_folio
     0.00%     0.00%  main     [kernel.kallsyms]     [k] rseq_ip_fixup
     0.00%     0.00%  main     [kernel.kallsyms]     [k] free_pages_and_swap_cache
     0.00%     0.00%  main     [kernel.kallsyms]     [k] bio_put
     0.00%     0.00%  main     [kernel.kallsyms]     [k] psi_memstall_leave
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __get_user_8
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_mark_iloc_dirty
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __rmqueue_pcplist
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_do_update_inode.isra.0
     0.00%     0.00%  main     [kernel.kallsyms]     [k] block_write_end
     0.00%     0.00%  main     [kernel.kallsyms]     [k] bio_free
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __block_commit_write.constprop.0
     0.00%     0.00%  main     [kernel.kallsyms]     [k] find_busiest_group
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __folio_alloc
     0.00%     0.00%  main     [kernel.kallsyms]     [k] rmqueue_bulk
     0.00%     0.00%  main     [kernel.kallsyms]     [k] sbitmap_get
     0.00%     0.00%  main     [kernel.kallsyms]     [k] cache_from_obj
     0.00%     0.00%  main     [kernel.kallsyms]     [k] mark_buffer_dirty
     0.00%     0.00%  main     [kernel.kallsyms]     [k] asm_sysvec_reschedule_ipi
     0.00%     0.00%  main     [kernel.kallsyms]     [k] sysvec_reschedule_ipi
     0.00%     0.00%  main     [kernel.kallsyms]     [k] psi_memstall_enter
     0.00%     0.00%  main     [kernel.kallsyms]     [k] lock_mm_and_find_vma
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __folio_mark_dirty
     0.00%     0.00%  main     [kernel.kallsyms]     [k] scsi_mq_get_budget
     0.00%     0.00%  main     [kernel.kallsyms]     [k] mempool_free
     0.00%     0.00%  main     [kernel.kallsyms]     [k] get_mem_cgroup_from_mm
     0.00%     0.00%  main     [kernel.kallsyms]     [k] kmem_cache_alloc
     0.00%     0.00%  main     [kernel.kallsyms]     [k] mempool_free_slab
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_fill_raw_inode
     0.00%     0.00%  main     [kernel.kallsyms]     [k] free_unref_page_list
     0.00%     0.00%  main     [kernel.kallsyms]     [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  main     [kernel.kallsyms]     [k] create_empty_buffers
     0.00%     0.00%  main     [kernel.kallsyms]     [k] folio_create_empty_buffers
     0.00%     0.00%  main     [kernel.kallsyms]     [k] find_vma
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_insert_request
     0.00%     0.00%  main     [kernel.kallsyms]     [k] dd_insert_requests
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_map_blocks
     0.00%     0.00%  main     [kernel.kallsyms]     [k] filemap_map_pages
     0.00%     0.00%  main     [kernel.kallsyms]     [k] alloc_buffer_head
     0.00%     0.00%  main     [kernel.kallsyms]     [k] folio_alloc_buffers
     0.00%     0.00%  main     [kernel.kallsyms]     [k] free_unref_page_commit
     0.00%     0.00%  main     [kernel.kallsyms]     [k] free_pcppages_bulk
     0.00%     0.00%  main     [kernel.kallsyms]     [k] dd_insert_request.isra.0
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __rcu_read_unlock
     0.00%     0.00%  main     [kernel.kallsyms]     [k] mt_find
     0.00%     0.00%  main     [kernel.kallsyms]     [k] _compound_head
     0.00%     0.00%  main     [kernel.kallsyms]     [k] folio_add_lru_vma
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __sbitmap_queue_get
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_sb_block_valid
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __rcu_read_lock
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __mod_lruvec_page_state
     0.00%     0.00%  main     [kernel.kallsyms]     [k] do_sync_mmap_readahead
     0.00%     0.00%  main     [kernel.kallsyms]     [k] page_cache_ra_order
     0.00%     0.00%  main     [kernel.kallsyms]     [k] page_cache_ra_unbounded
     0.00%     0.00%  main     [kernel.kallsyms]     [k] group_balance_cpu
     0.00%     0.00%  main     [kernel.kallsyms]     [k] rcu_core_si
     0.00%     0.00%  main     [kernel.kallsyms]     [k] bio_alloc_bioset
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __check_block_validity.constprop.0
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_inode_block_valid
     0.00%     0.00%  main     [kernel.kallsyms]     [k] _find_next_zero_bit
     0.00%     0.00%  main     [kernel.kallsyms]     [k] _raw_spin_lock
     0.00%     0.00%  main     [kernel.kallsyms]     [k] mtree_range_walk
     0.00%     0.00%  main     [kernel.kallsyms]     [k] up_read
     0.00%     0.00%  main     [kernel.kallsyms]     [k] rcu_core
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __alloc_pages_slowpath.constprop.0
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_attempt_bio_merge
     0.00%     0.00%  main     [kernel.kallsyms]     [k] jbd2_journal_stop
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_find_extent
     0.00%     0.00%  main     [unknown]             [k] 0x6d2f2f687461705f
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __ext4_journal_start_sb
     0.00%     0.00%  main     libc.so.6             [.] __GI___libc_open
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __ext4_journal_stop
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __sg_free_table
     0.00%     0.00%  main     [kernel.kallsyms]     [k] page_remove_rmap
     0.00%     0.00%  main     [kernel.kallsyms]     [k] workingset_refault
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __x64_sys_openat
     0.00%     0.00%  main     [kernel.kallsyms]     [k] do_sys_openat2
     0.00%     0.00%  main     [kernel.kallsyms]     [k] do_filp_open
     0.00%     0.00%  main     [kernel.kallsyms]     [k] path_openat
     0.00%     0.00%  main     [kernel.kallsyms]     [k] do_open
     0.00%     0.00%  main     [kernel.kallsyms]     [k] do_truncate
     0.00%     0.00%  main     [kernel.kallsyms]     [k] notify_change
     0.00%     0.00%  main     [kernel.kallsyms]     [k] sg_free_table_chained
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_setattr
     0.00%     0.00%  main     [kernel.kallsyms]     [k] truncate_pagecache
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __blk_mq_get_tag
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_ext_map_blocks
     0.00%     0.00%  main     [kernel.kallsyms]     [k] truncate_inode_pages_range
     0.00%     0.00%  main     [kernel.kallsyms]     [k] sbitmap_find_bit
     0.00%     0.00%  main     [kernel.kallsyms]     [k] dd_has_work
     0.00%     0.00%  main     [kernel.kallsyms]     [k] crypto_shash_update
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_sched_bio_merge
     0.00%     0.00%  main     [kernel.kallsyms]     [k] lru_gen_refault
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ktime_get_mono_fast_ns
     0.00%     0.00%  main     [kernel.kallsyms]     [k] sg_pool_free
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_da_reserve_space
     0.00%     0.00%  main     [kernel.kallsyms]     [k] update_sg_lb_stats
     0.00%     0.00%  main     [kernel.kallsyms]     [k] xas_find
     0.00%     0.00%  main     [kernel.kallsyms]     [k] mem_cgroup_handle_over_high
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_inode_csum_set
     0.00%     0.00%  main     [kernel.kallsyms]     [k] bvec_free
     0.00%     0.00%  main     [kernel.kallsyms]     [k] mempool_alloc
     0.00%     0.00%  main     [kernel.kallsyms]     [k] jbd2__journal_start
     0.00%     0.00%  main     [kernel.kallsyms]     [k] mempool_alloc_slab
     0.00%     0.00%  main     [kernel.kallsyms]     [k] clear_page_erms
     0.00%     0.00%  main     [kernel.kallsyms]     [k] elv_rb_add
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __mod_memcg_lruvec_state
     0.00%     0.00%  main     [kernel.kallsyms]     [k] xas_load
     0.00%     0.00%  main     [kernel.kallsyms]     [k] filemap_get_read_batch
     0.00%     0.00%  main     [kernel.kallsyms]     [k] finish_fault
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_dispatch_rq_list
     0.00%     0.00%  main     [kernel.kallsyms]     [k] dd_bio_merge
     0.00%     0.00%  main     [kernel.kallsyms]     [k] mas_walk
     0.00%     0.00%  main     [kernel.kallsyms]     [k] lock_vma_under_rcu
     0.00%     0.00%  main     [kernel.kallsyms]     [k] scsi_queue_rq
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __mod_lruvec_state
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_inode_csum
     0.00%     0.00%  main     [kernel.kallsyms]     [k] filemap_get_pages
     0.00%     0.00%  main     [kernel.kallsyms]     [k] truncate_folio_batch_exceptionals.part.0
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ktime_get
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __bitmap_weight
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __rq_qos_throttle
     0.00%     0.00%  main     [kernel.kallsyms]     [k] _raw_spin_trylock
     0.00%     0.00%  main     [kernel.kallsyms]     [k] get_obj_cgroup_from_current
     0.00%     0.00%  main     [kernel.kallsyms]     [k] percpu_counter_add_batch
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __ext4_journal_get_write_access
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_stat_add
     0.00%     0.00%  main     [kernel.kallsyms]     [k] filemap_get_entry
     0.00%     0.00%  main     [kernel.kallsyms]     [k] count_memcg_events.constprop.0
     0.00%     0.00%  main     [kernel.kallsyms]     [k] next_uptodate_page
     0.00%     0.00%  main     [kernel.kallsyms]     [k] scsi_decide_disposition
     0.00%     0.00%  main     [kernel.kallsyms]     [k] rseq_update_cpu_node_id
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_sched_try_merge
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_reserve_inode_write
     0.00%     0.00%  main     [kernel.kallsyms]     [k] elv_merge
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_hctx_has_pending
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_cache_extents
     0.00%     0.00%  main     [kernel.kallsyms]     [k] sbitmap_weight
     0.00%     0.00%  main     [kernel.kallsyms]     [k] deadline_next_request
     0.00%     0.00%  main     [kernel.kallsyms]     [k] scsi_dispatch_cmd
     0.00%     0.00%  main     [kernel.kallsyms]     [k] sbitmap_any_bit_set
     0.00%     0.00%  main     [kernel.kallsyms]     [k] post_alloc_hook
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_sched_try_insert_merge
     0.00%     0.00%  main     [kernel.kallsyms]     [k] wbt_track
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __pte_offset_map
     0.00%     0.00%  main     [kernel.kallsyms]     [k] bio_integrity_prep
     0.00%     0.00%  main     [kernel.kallsyms]     [k] scsi_device_unbusy
     0.00%     0.00%  main     [kernel.kallsyms]     [k] update_io_ticks
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __radix_tree_lookup
     0.00%     0.00%  main     [kernel.kallsyms]     [k] consume_stock
     0.00%     0.00%  main     [kernel.kallsyms]     [k] _raw_write_lock
     0.00%     0.00%  main     [kernel.kallsyms]     [k] page_counter_try_charge
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __pte_offset_map_lock
     0.00%     0.00%  main     [kernel.kallsyms]     [k] start_this_handle
     0.00%     0.00%  main     [kernel.kallsyms]     [k] stop_this_handle
     0.00%     0.00%  main     [kernel.kallsyms]     [k] obj_cgroup_charge
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __dquot_alloc_space
     0.00%     0.00%  main     [kernel.kallsyms]     [k] xas_descend
